NR_INWENT;NAZWA;REGION;GMINA;WLASCICIEL;DLUGOSC;GLEBOKOSC;PRZEWYZSZE;DENIWELACJ;OSUWISKOWA;X_1992;Y_1992;ID;ROK_AKTUAL;CPU
G-2.18;Schron Polichniański;Region Świętokrzyski;Chęciny (gm. miejsko-wiejska);Prywatny;5;0;0;0;0;600937.05;327862.14;837;2013
J.Olk.I-08.126;Wysoka Szczelina nad Szklarami;Wyżyna Śląsko-Krakowska;Jerzmanowice-Przeginia (gm. wiejska);Prywatny;3.3;0;2.5;2.5;0;550818.66;257016.55;11307;2020
G-5.2;Schronisko Szklarków;Region Świętokrzyski;Chęciny (gm. miejsko-wiejska);Skarb Państwa;3;2;0;2;0;601363.19;326078.83;853;2013
J.Olk.I-10.14;Schronisko Paczółtowickie Dolne I;Wyżyna Śląsko-Krakowska;Krzeszowice (gm. miejsko-wiejska);Skarb Państwa (Lasy Państwowe);7.9;2.5;2;4.5;0;545703.52;256693.52;10914;2015
S.I-03.16;Miniaturka (S-1.12);Sudety;Stronie Śląskie (gm. miejsko-wiejska);Skarb Państwa (Lasy Państwowe);20;0;0;0;0;346213.65;265201.85;3898;2014
K.Bn-09.63;Schronisko w Trzcianie III;Karpaty;Dukla (gm. miejsko-wiejska);Skarb Państwa (Lasy Państwowe);2.2;0;0;0;0;693488.2;185347.84;10786;2015
J.Olk.I-10.15;Szuflada nad Źródłem;Wyżyna Śląsko-Krakowska;Krzeszowice (gm. miejsko-wiejska);Skarb Państwa (Lasy Państwowe);2.5;0;0;0;0;545703.52;256693.52;10915;2015
N-2.30;Schronisko Ptaszników;Niecka Nidziańska;Wiślica (gm. miejsko-wiejska);Skarb Państwa;2;0;0;0;0;618738.15;284958.2;704;2013
NP-03;Jaskinia w Kępie Redłowskiej;Niż Polski;Gdynia (gm. miejska);Skarb Państwa;23.5;5;0;5;0;471839.02;736246.04;392;2013
N-2.16;Schronisko w Skotnikach Dolnych;Niecka Nidziańska;Pińczów (gm. miejsko-wiejska);Prywatny;3.5;0;0;0;0;615982.59;284618.91;712;2013
N-2.28;Wielki Schron;Niecka Nidziańska;Wiślica (gm. miejsko-wiejska);Skarb Państwa;7;1.7;0;1.7;0;618757.18;284989.52;714;2013
K.Bs-03.145;Dziadowski Schron I;Karpaty;Lipowa (gm. wiejska);Skarb Państwa (Lasy Państwowe);1.6;0;0;0;1;503406.13;200661.15;10655;2015
N-2.29;Jaskinia Stara;Niecka Nidziańska;Wiślica (gm. miejsko-wiejska);Skarb Państwa;86;3;0;3;0;618757.18;284989.52;715;2013
N-2.11;Schronisko przy Rowie;Niecka Nidziańska;Wiślica (gm. miejsko-wiejska);Prywatny;3.5;0;1;1;0;617107.59;285508.68;665;2013
